Q106624792,[deutscher Verleger und Mäzen]
Q87730329,[deutsche Bioinformatikerin, Hochschullehrerin und Go-Spielerin]
Q106786631,[deutsche Diakonin und Feministin]
Q35248060,[Schweizer evangelischer Theologe und Hochschullehrer]
Q106986748,[Schweizer evangelischer Geistlicher und Hochschullehrer]
Q43023787,[schweizerisch-französischer evangelischer Geistlicher und Hochschullehrer]
Q106640713,[Schweizer Bildhauerin]
Q107126592,[deutsch-türkischer Autor und Unternehmer]
Q106583344,[deutscher Rollhockeyspieler]
Q106560046,[ deutsche Juristin und Richterin]
Q106640279,[k.u.k. Ingenieur-Offizier]
Q106573309,[deutscher Kunstmaler]
Q94750652,[deutsche Malerin und Grafikerin]
Q106618420,[deutsche Richterin und Verfassungsrichterin]
Q106680690,[argentinischer Fotograf und Architekt]
Q106600345,[französischer Radrennfahrer]
Q106956651,[deutscher Ingenieur]
Q106559811,[deutscher Kommunikationswissenschaftler und Autor]
Q106580791,[deutscher Facharzt für Neurologie und Psychiatrie und Professor für forensische Psychiatrie]
Q107313754,[deutsche Psychologin, Hochschullehrerin und -rektorin]
Q16210599,[luxemburgischer Radrennfahrer]
Q106560047,[ deutsche Juristin und Richterin]
Q106560727,[deutscher Unternehmer]
Q106603396,[deutsche Philosophin und Feministin]
Q106619166,[deutsche Juristin, Präsidentin des Landgerichts Nürnberg-Fürth, Verfassungsrichterin]
Q106606177,[österreichischer Musiker, Komponist und Arrangeur sowie Musikpädagoge]
Q1251392,[manischer Prinz
|]
Q106601304,[deutsche Managerin und Unternehmerin]
Q29169692,[deutsch-iranische Unternehmerin, Autorin und TV-Darstellerin]
Q17308798,[US-amerikanischer Regisseur, Produzent, Drehbuchautor und Filmeditor]
Q97503656,[deutscher Berufsbildungsforscher]
Q3592316,[französischer Maler, in Rom tätig]
Q5125949,[namibische Politikerin, Landwirtin und Unternehmerin]
Q95290904,[deutscher Maler]
Q106617654,[Basketballspieler]
Q106633276,[deutscher Musiker, Sänger und Tänzer]
Q106165258,[usbekischer Politiker]
Q63976340,[deutscher Physiker und Hochschullehrer]
Q51337300,[US-amerikanischer Basketballspieler]
Q61167923,[US-amerikanischer organischer Chemiker und Hochschullehrer]
Q106559812,[deutscher Handballspieler]
Q106559813,[deutscher Schriftsteller]
Q7408759,[ samoanische Häuptling, Politikerin und Diplomatin]
Q106560042,[kanadischer Religionssoziologe und emeritierter Hochschullehrer]
Q106573307,[deutsche Schriftstellerin]
Q106560043,[schottischer Fußballtorwart]
Q104158973,[weißrussische Journalistin]
Q106560044,[deutscher Landwirt und Politiker (BdL, DSP, DNVP, ThLB, NSDAP)]
Q74673956,[deutsche Roman- und Drehbuchautorin]
Q106560045,[Mitglied des Provinziallandtages der Provinz Hessen-Nassau]
Q7410830,[US-amerikanischer Brigadegeneral des Marine Corps und Militärhistoriker]
Q104865111,[deutsche Physikerin]
Q106560646,[deutscher Politiker (AfD), MdL]
Q106560645,[deutsche Kommunalpolitikerin]
Q106560728,[deutscher Porzellanarbeiter und Politiker]
Q106560729,[deutscher Politiker (CDU), MdL]
Q59630171,[deutscher Rechtswissenschaftler]
Q106562449,[amerikanischer Industriedesigner]
Q106561420,[deutscher Politiker (AfD), MdL]
Q11649404,[japanischer Geschäftsmann, 3. Präsident von Sumitomo]
Q106567612,[deutsche Heilpraktikerin, Sachbuchautorin und Dozentin]
Q106561575,[deutscher Historiker]
Q94747936,[Schauspielerin und Theaterdirektorin]
Q106561651,[deutscher Politiker (CDU), MdL]
Q94761273,[deutscher Ministerialbeamter]
Q11341140,[estnische Musikerin, Sängerin und Songwriterin]
Q106563708,[österreichische Basketballspielerin]
Q94874031,[österreichischer Obervogt in Württemberg ]
Q94925233,[deutscher Seeoffizier, zuletzt Vizeadmiral der Reichsmarine]
Q97369427,[sowjetisch-russische Restauratorin]
Q106563706,[deutscher Orgelbauer]
Q106564045,[deutsche Menschenrechts- und Frauenrechtsaktivistin]
Q20436973,[US-amerikanischer Historiker und Experte für chinesische Militärgeschichte und chinesische Kriegsführung]
Q70885528,[polnischer Volleyballspieler]
Q106564059,[Schweizer Unihockeyspieler]
Q106564060,[litauischer Diplomat]
Q3345725,[schweizerisch-kanadische Schauspielerin]
Q106564321,[belgischer römisch-katholischer Geistlicher und Märtyrer]
Q19599064,[schottischer Mittelstreckenläufer]
Q94862006,[deutscher Wirtschaftswissenschaftler und Ministerialbeamter]
Q2928697,[türkische Volleyballspielerin]
Q106565731,[deutscher Schriftsteller, Hörspiel- und Drehbuchautor]
Q6136509,[US-amerikanischer MMA-Kämpfer]
Q53318452,[belgischer Mittelstreckenläufer]
Q60838376,[deutscher Verwaltungsjurist, Kreisdirektor in Hessen, Regierungsvizepräsident in Marienwerder]
Q72214325,[deutscher Kupferstecher ]
Q95254974,[deutscher Unternehmer, Offizier und Ministerialbeamter]
Q95684829,[deutsche Filmproduzentin]
Q106567168,[deutsche Politikerin (CDU), MdL]
Q106680366,[deutsche Pädagogin und Autorin]
Q4775945,[deutscher Radrennfahrer, Skibergsteiger und Bergläufer]
Q106567986,[US-amerikanische Filmproduzentin und Filmschaffende]
Q105945027,[japanischer Fußballspieler]
Q89448792,[japanischer Fußballspieler]
Q106570781,[französischer Jazz- und Fusionmusiker (Gitarre, Komposition)]
Q106571691,[Geistlicher]
Q106571513,[deutsche Handballspielerin]
Q106571592,[US-amerikanische Soldatin (Admiral)]
Q3406570,[sowjetischer Kanute]
Q3148305,[sowjetischer Kanute]
Q106574639,[deutsche Journalistin und Moderatorin]
